Holder,Shares,Date Reported,% Out,Value,comp
Vanguard Group Inc,49033679,2023-09-29,0.0888,4875835462,MMM
Blackrock Inc.,39680781,2023-09-29,0.0718,3945797319,MMM
State Street Corporation,35211119,2023-09-29,0.0638,3501340837,MMM
"Charles Schwab Investment Management, Inc.",12036846,2023-09-29,0.0218,1196925904,MMM
"Geode Capital Management, LLC",10588422,2023-09-29,0.0192,1052896795,MMM
Morgan Stanley,10226821,2023-09-29,0.018500000000000003,1016939734,MMM
State Farm Mutual Automobile Insurance Co,8949621,2023-09-29,0.016200000000000003,889936882,MMM
"Newport Trust Company, LLC",8289000,2023-09-29,0.015,824245721,MMM
Northern Trust Corporation,6777155,2023-09-29,0.0123,673910123,MMM
Bank of America Corporation,6566404,2023-09-29,0.011899999999999999,652953360,MMM
"Berkshire Hathaway, Inc",151610700,2023-09-29,0.20800000000000002,25617660164,AXP
Vanguard Group Inc,46862268,2023-09-29,0.0643,7918317481,AXP
Blackrock Inc.,42679134,2023-09-29,0.058600000000000006,7211493324,AXP
State Street Corporation,29013522,2023-09-29,0.0398,4902414847,AXP
"Wellington Management Group, LLP",20354361,2023-09-29,0.0279,3439276403,AXP
JP Morgan Chase & Company,17458563,2023-09-29,0.024,2949973411,AXP
Morgan Stanley,13001142,2023-09-29,0.0178,2196802979,AXP
Bank of America Corporation,12455592,2023-09-29,0.0171,2104621395,AXP
Massachusetts Financial Services Co.,11269770,2023-09-29,0.0155,1904253050,AXP
"Geode Capital Management, LLC",10825788,2023-09-29,0.0149,1829233411,AXP
Vanguard Group Inc,49035981,2023-09-29,0.0916,13225494016,AMGN
Blackrock Inc.,47574884,2023-09-29,0.0889,12831421557,AMGN
State Street Corporation,28575487,2023-09-29,0.053399999999999996,7707094354,AMGN
Primecap Management Company,14732458,2023-09-29,0.0275,3973491121,AMGN
Morgan Stanley,13247973,2023-09-29,0.0248,3573110684,AMGN
"Geode Capital Management, LLC",12137491,2023-09-29,0.0227,3273602593,AMGN
"Charles Schwab Investment Management, Inc.",10893895,2023-09-29,0.0204,2938192327,AMGN
Capital Research Global Investors,8493209,2023-09-29,0.0159,2290703326,AMGN
Wells Fargo & Company,7581419,2023-09-29,0.014199999999999999,2044784453,AMGN
Northern Trust Corporation,6977625,2023-09-29,0.013000000000000001,1881935179,AMGN
Vanguard Group Inc,1299997133,2023-09-29,0.0836,245127059497,AAPL
Blackrock Inc.,1031407553,2023-09-29,0.0663,194481890914,AAPL
"Berkshire Hathaway, Inc",915560382,2023-09-29,0.058899999999999994,172637783987,AAPL
State Street Corporation,569291690,2023-09-29,0.0366,107345465942,AAPL
"FMR, LLC",298321726,2023-09-29,0.0192,56251452885,AAPL
"Geode Capital Management, LLC",296103070,2023-09-29,0.019,55833103792,AAPL
Price (T.Rowe) Associates Inc,216307878,2023-09-29,0.0139,40786946935,AAPL
Morgan Stanley,206732960,2023-09-29,0.013300000000000001,38981503342,AAPL
Northern Trust Corporation,168874976,2023-09-29,0.0109,31843013525,AAPL
Norges Bank Investment Management,167374278,2022-12-30,0.0108,31560042372,AAPL
Vanguard Group Inc,47609508,2023-09-29,0.0787,10802121241,BA
Blackrock Inc.,36706366,2023-09-29,0.060700000000000004,8328307359,BA
"Newport Trust Company, LLC",33374951,2023-09-29,0.0552,7572442612,BA
State Street Corporation,25889876,2023-09-29,0.042800000000000005,5874153949,BA
"FMR, LLC",19529796,2023-09-29,0.0323,4431115402,BA
Capital World Investors,17496571,2023-09-29,0.028900000000000002,3969796983,BA
Capital Research Global Investors,12454683,2023-09-29,0.0206,2825843018,BA
"Loomis Sayles & Company, LP",10759510,2023-09-29,0.0178,2441225217,BA
"Geode Capital Management, LLC",10449133,2023-09-29,0.0173,2370803779,BA
Bank of America Corporation,10243251,2023-09-29,0.0169,2324091213,BA
Vanguard Group Inc,48224154,2023-09-29,0.0947,12083526620,CAT
State Street Corporation,37624509,2023-09-29,0.0739,9427573495,CAT
Blackrock Inc.,33201590,2023-09-29,0.0652,8319322649,CAT
Capital World Investors,28933474,2023-09-29,0.056799999999999996,7249860792,CAT
State Farm Mutual Automobile Insurance Co,17761276,2023-09-29,0.0349,4450443057,CAT
"Geode Capital Management, LLC",9654207,2023-09-29,0.019,2419054718,CAT
"Fisher Asset Management, LLC",7965932,2023-09-29,0.015600000000000001,1996023639,CAT
Bill & Melinda Gates Foundation Trust,7353614,2023-09-29,0.0144,1842595113,CAT
Northern Trust Corporation,6962809,2023-09-29,0.0137,1744671102,CAT
Morgan Stanley,6830849,2023-09-29,0.0134,1711605883,CAT
Vanguard Group Inc,161924375,2023-09-29,0.0858,23353543972,CVX
Blackrock Inc.,125055134,2023-09-29,0.0662,18036077464,CVX
State Street Corporation,124064324,2023-09-29,0.06570000000000001,17893177886,CVX
"Berkshire Hathaway, Inc",110248289,2023-09-29,0.0584,15900560153,CVX
Morgan Stanley,34166899,2023-09-29,0.0181,4927721216,CVX
"Geode Capital Management, LLC",33805294,2023-09-29,0.0179,4875568733,CVX
Bank of America Corporation,29237233,2023-09-29,0.0155,4216740107,CVX
"Charles Schwab Investment Management, Inc.",24236141,2023-09-29,0.0128,3495457583,CVX
Northern Trust Corporation,22705118,2023-09-29,0.012,3274645782,CVX
JP Morgan Chase & Company,22023968,2023-09-29,0.011699999999999999,3176406919,CVX
Vanguard Group Inc,383641658,2023-09-29,0.0944,18405207957,CSCO
Blackrock Inc.,342780973,2023-09-29,0.08439999999999999,16444916656,CSCO
State Street Corporation,184788253,2023-09-29,0.0455,8865216155,CSCO
"Geode Capital Management, LLC",85644211,2023-09-29,0.021099999999999997,4108780892,CSCO
Bank Of New York Mellon Corporation,68261146,2023-09-29,0.0168,3274828375,CSCO
"Charles Schwab Investment Management, Inc.",67093793,2023-09-29,0.0165,3218824616,CSCO
Morgan Stanley,62330092,2023-09-29,0.015300000000000001,2990286068,CSCO
"FMR, LLC",57102221,2023-09-29,0.0141,2739478965,CSCO
Bank of America Corporation,56768234,2023-09-29,0.013999999999999999,2723455939,CSCO
Northern Trust Corporation,50549422,2023-09-29,0.0124,2425108443,CSCO
"Berkshire Hathaway, Inc",400000000,2023-09-29,0.0925,23146000671,KO
Vanguard Group Inc,370799829,2023-09-29,0.0858,21456332727,KO
Blackrock Inc.,301977337,2023-09-29,0.0698,17473919112,KO
State Street Corporation,155238889,2023-09-29,0.0359,8982898572,KO
JP Morgan Chase & Company,86505468,2023-09-29,0.02,5005639051,KO
"Geode Capital Management, LLC",82475750,2023-09-29,0.0191,4772459412,KO
Morgan Stanley,80448083,2023-09-29,0.018600000000000002,4655128457,KO
"FMR, LLC",73868537,2023-09-29,0.0171,4274403017,KO
"Charles Schwab Investment Management, Inc.",63138970,2023-09-29,0.0146,3653536605,KO
Norges Bank Investment Management,46176945,2022-12-30,0.010700000000000001,2672028999,KO
Vanguard Group Inc,149887754,2023-09-29,0.0819,13824897081,DIS
Blackrock Inc.,118691454,2023-09-29,0.06480000000000001,10947506332,DIS
State Street Corporation,72607200,2023-09-29,0.0397,6696925136,DIS
Morgan Stanley,44318444,2023-09-29,0.0242,4087711709,DIS
"Geode Capital Management, LLC",33935205,2023-09-29,0.018500000000000003,3130013653,DIS
State Farm Mutual Automobile Insurance Co,33613312,2023-09-29,0.0184,3100323852,DIS
"Trian Fund Management, LP",32868307,2023-09-29,0.018000000000000002,3031608316,DIS
Northern Trust Corporation,24859476,2023-09-29,0.013600000000000001,2292913784,DIS
Bank Of New York Mellon Corporation,20776815,2023-09-29,0.011399999999999999,1916349544,DIS
Bank of America Corporation,16565826,2023-09-29,0.0091,1527948971,DIS
Vanguard Group Inc,61604803,2023-09-29,0.08779999999999999,3175727547,DOW
Blackrock Inc.,46886245,2023-09-29,0.0668,2416985893,DOW
State Street Corporation,34845622,2023-09-29,0.049699999999999994,1796291787,DOW
Pzena Investment Management Llc,18230680,2023-09-29,0.026000000000000002,939791540,DOW
JP Morgan Chase & Company,16339908,2023-09-29,0.0233,842322244,DOW
Morgan Stanley,14690269,2023-09-29,0.0209,757283355,DOW
"Geode Capital Management, LLC",13397404,2023-09-29,0.0191,690636165,DOW
Capital World Investors,9164019,2023-09-29,0.0131,472405172,DOW
Dimensional Fund Advisors LP,8434065,2023-09-29,0.012,434776044,DOW
Invesco Ltd.,7679713,2023-09-29,0.0109,395889199,DOW
Vanguard Group Inc,28838062,2023-09-29,0.08839999999999999,9899529888,GS
Blackrock Inc.,22585616,2023-09-29,0.0693,7753190232,GS
State Street Corporation,19115611,2023-09-29,0.058600000000000006,6562006920,GS
"Geode Capital Management, LLC",6165375,2023-09-29,0.0189,2116449922,GS
Morgan Stanley,5693331,2023-09-29,0.0175,1954406658,GS
Capital World Investors,5674383,2023-09-29,0.0174,1947902189,GS
Dodge & Cox Inc,5541257,2023-09-29,0.017,1902202696,GS
"Fisher Asset Management, LLC",5365561,2023-09-29,0.0165,1841889773,GS
Massachusetts Financial Services Co.,5167679,2023-09-29,0.0158,1773960840,GS
Price (T.Rowe) Associates Inc,4678472,2023-09-29,0.0143,1606025862,GS
Vanguard Group Inc,94427353,2023-09-29,0.0949,29398066541,HD
Blackrock Inc.,70020123,2023-09-29,0.0704,21799363953,HD
State Street Corporation,42079636,2023-09-29,0.042300000000000004,13100652510,HD
Capital World Investors,38811236,2023-09-29,0.039,12083101582,HD
"Geode Capital Management, LLC",19683216,2023-09-29,0.019799999999999998,6127975372,HD
Morgan Stanley,18380817,2023-09-29,0.018500000000000003,5722499509,HD
Bank of America Corporation,14817678,2023-09-29,0.0149,4613187492,HD
Capital Research Global Investors,13773143,2023-09-29,0.0138,4287992425,HD
"Charles Schwab Investment Management, Inc.",12870163,2023-09-29,0.0129,4006867673,HD
Northern Trust Corporation,12347396,2023-09-29,0.0124,3844114630,HD
Vanguard Group Inc,61250393,2023-09-29,0.0882,11986971824,HON
Blackrock Inc.,42280780,2023-09-29,0.060899999999999996,8274534966,HON
State Street Corporation,30260145,2023-09-29,0.0436,5922043725,HON
"Wellington Management Group, LLP",20066897,2023-09-29,0.028900000000000002,3927180172,HON
"Newport Trust Company, LLC",16216389,2023-09-29,0.0233,3173618788,HON
Massachusetts Financial Services Co.,15322511,2023-09-29,0.022099999999999998,2998682924,HON
Morgan Stanley,14401043,2023-09-29,0.0207,2818347576,HON
Bank of America Corporation,14149712,2023-09-29,0.0204,2769160992,HON
"Geode Capital Management, LLC",13073420,2023-09-29,0.018799999999999997,2558525905,HON
JP Morgan Chase & Company,11038668,2023-09-29,0.0159,2160315972,HON
Vanguard Group Inc,82076195,2023-09-29,0.08990000000000001,12972963181,IBM
Blackrock Inc.,73203465,2023-09-29,0.0802,11570539499,IBM
State Street Corporation,54680602,2023-09-29,0.0599,8642815818,IBM
"Geode Capital Management, LLC",17562102,2023-09-29,0.0192,2775865799,IBM
Morgan Stanley,16257789,2023-09-29,0.0178,2569706089,IBM
Bank of America Corporation,15494499,2023-09-29,0.017,2449060474,IBM
Northern Trust Corporation,9970674,2023-09-29,0.0109,1575964708,IBM
Bank Of New York Mellon Corporation,8691369,2023-09-29,0.0095,1373757762,IBM
JP Morgan Chase & Company,8146857,2023-09-29,0.0089,1287692197,IBM
"Ameriprise Financial, Inc.",7899931,2023-09-29,0.0087,1248663074,IBM
Vanguard Group Inc,381109738,2023-09-29,0.0904,17073715971,INTC
Blackrock Inc.,332097759,2023-09-29,0.0788,14877979349,INTC
State Street Corporation,178570402,2023-09-29,0.0424,7999953873,INTC
Capital International Investors,96299456,2023-09-29,0.022799999999999997,4314215555,INTC
"Geode Capital Management, LLC",86779338,2023-09-29,0.0206,3887714276,INTC
Capital Research Global Investors,75219668,2023-09-29,0.0178,3369841069,INTC
Primecap Management Company,74762291,2023-09-29,0.0177,3349350579,INTC
